ADM2_NAME,meanssm
Bellary,5.434267894741226
Bijapur,3.7853013054122555
Dakshin Kannad,5.938189401898497
Dharwad,5.789319528341952
Mysore,7.908902106474925
Raichur,3.6778104280220787
Shimoga,6.206804523552842
Bagalkot,3.4975651846502798
Chamrajnagar,8.9881895592799
Chitradurga,5.04304884467998
Davanagere,4.993859362150142
Gadag,3.6792439647520334
Haveri,5.575159639739458
Koppal,4.039207285145216
Udupi,8.786925094910183
Belgaum,5.070031335259153
Bidar,5.19809745997298
Chikmagalur,6.138862991400706
Gulbarga,3.4903978229649764
Hassan,8.373882529526744
Kodagu,7.359010708810182
Kolar,9.068327055048846
Mandya,8.229308686160705
Tumkur,7.194561390777623
Uttar Kannand,7.776450567745934
Bangalore Rural,6.987056220087272
Bangalore Urban,7.649504440992836
